Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/22/2024,"POS DEBIT                PAYPAL *GITHUB INC        SAN FRANCISC CA                                                                                                                                                                                                                                                                   00CN07682",-10.00,MISC_DEBIT, ,,
DEBIT,01/19/2024,"Zelle payment to Kiki 19622936883",-100.00,QUICKPAY_DEBIT,2851.24,,
DEBIT,01/19/2024,"Payment to Chase card ending in 3492 01/19",-792.42,LOAN_PMT,2951.24,,
CREDIT,01/19/2024,"Zelle payment from ROSIO C FERNANDEZ VELA 19627656541",125.00,QUICKPAY_CREDIT,3743.66,,
CREDIT,01/19/2024,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2053.58,ACH_CREDIT,3618.66,,
DEBIT,01/16/2024,"Payment to Chase card ending in 3492 01/16",-502.15,LOAN_PMT,1565.08,,
CREDIT,01/10/2024,"Zelle payment from ALIUSKA VELA 19249697850",50.00,QUICKPAY_CREDIT,2067.23,,
DEBIT,01/09/2024,"Zelle payment to Kiki 19529906603",-150.00,QUICKPAY_DEBIT,2017.23,,
DEBIT,01/05/2024,"Zelle payment to Allie JPM99a7k36ul",-75.00,CHASE_TO_PARTNERFI,2167.23,,
DEBIT,01/05/2024,"Payment to Chase card ending in 3492 01/05",-1080.95,LOAN_PMT,2242.23,,
DEBIT,01/05/2024,"Zelle payment to Marily Guzman 19493329450",-900.00,QUICKPAY_DEBIT,3323.18,,
CREDIT,01/05/2024,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2053.58,ACH_CREDIT,4223.18,,
DSLIP,01/05/2024,"DEPOSIT  ID NUMBER 470289",1429.07,DEPOSIT,2169.60,,
DEBIT,01/04/2024,"FPL DIRECT DEBIT ELEC PYMT  6075856572 WEBI WEB ID: 3590247775",-392.60,ACH_DEBIT,740.53,,
DEBIT,01/03/2024,"ATT*BILL PAYMENT 800-288-2020 TX             01/02",-285.59,DEBIT_CARD,1133.13,,
CREDIT,01/03/2024,"Zelle payment from ROSIO C FERNANDEZ VELA 19182639003",60.00,QUICKPAY_CREDIT,1418.72,,
DEBIT,01/03/2024,"APPLE CASH SENT MONE 1INFINITELOOP CA        01/02",100.00,DEBIT_CARD,1358.72,,
DEBIT,01/02/2024,"Amazon web services aws.amazon.co WA         01/02",-30.59,DEBIT_CARD,1258.72,,
DEBIT,01/02/2024,"Zelle payment to Mama  19460938835",-400.00,QUICKPAY_DEBIT,1289.31,,
DEBIT,01/02/2024,"ATT*BILL PAYMENT 800-288-2020 TX             12/31",-95.70,DEBIT_CARD,1689.31,,
CREDIT,01/02/2024,"Online Transfer from SAV ...7765 transaction#: 19461183351",200.00,ACCT_XFER,1785.01,,
